,date,loser,p1,p2,return_points_played_loser,return_points_played_winner,return_points_won_loser,return_points_won_winner,round,rpw_loser,rpw_winner,score,serve_points_played_loser,serve_points_played_winner,serve_points_won_loser,serve_points_won_winner,spw_loser,spw_winner,surface,tournament_name,ues_loser,ues_winner,winner,winners_loser,winners_winner
100,2017-01-14 13:40:00,Bhambri Y.,Escobedo E.,Bhambri Y.,,,,,qualifying,,,6-7 6-2 6-4,,,,,,,hard,Australian Open,,,Escobedo E.,,
101,2017-01-14 13:40:00,Ruud C.,Opelka R.,Ruud C.,55.0,70.0,7.0,24.0,qualifying,0.12727272727272726,0.34285714285714286,7-6(2) 6-3,70.0,55.0,46.0,48.0,0.6571428571428571,0.8727272727272727,hard,Australian Open,,,Opelka R.,,
102,2017-01-14 13:45:00,Satral J.,Vanni L.,Satral J.,,,,,qualifying,,,4-6 6-4 6-4,,,,,,,hard,Australian Open,,,Vanni L.,,
103,2017-01-14 14:00:00,Ram R.,Melzer J.,Ram R.,,,,,qualifying,,,6-2 3-6 6-3,,,,,,,hard,Australian Open,,,Melzer J.,,
104,2017-01-14 15:10:00,Lee D.,Bublik A.,Lee D.,93.0,136.0,40.0,64.0,qualifying,0.43010752688172044,0.47058823529411764,4-6 6-4 6-4,136.0,93.0,72.0,53.0,0.5294117647058824,0.5698924731182796,hard,Australian Open,,,Bublik A.,,
105,2017-01-14 15:35:00,Benneteau J.,Bolt A.,Benneteau J.,,,,,qualifying,,,6-3 7-5,,,,,,,hard,Australian Open,,,Bolt A.,,
106,2017-01-14 18:30:00,Evans D.,Muller G.,Evans D.,60.0,71.0,15.0,27.0,F,0.25,0.38028169014084506,7-6(5) 6-2,71.0,60.0,44.0,45.0,0.6197183098591549,0.75,hard,Sydney,,,Muller G.,,
107,2017-01-16 10:00:00,Almagro N.,Chardy J.,Almagro N.,20.0,15.0,7.0,10.0,last_128,0.35,0.6666666666666666,4-0,15.0,20.0,5.0,13.0,0.3333333333333333,0.65,hard,Australian Open,,,Chardy J.,,
108,2017-01-16 10:00:00,Dzumhur D.,Troicki V.,Dzumhur D.,123.0,143.0,41.0,55.0,last_128,0.3333333333333333,0.38461538461538464,6-4 6-4 2-6 2-6 6-3,143.0,123.0,88.0,82.0,0.6153846153846154,0.6666666666666666,hard,Australian Open,,,Troicki V.,,
109,2017-01-16 10:00:00,Bedene A.,Estrella Burgos V.,Bedene A.,143.0,135.0,60.0,53.0,last_128,0.4195804195804196,0.3925925925925926,7-6(7) 7-5 0-6 6-3,135.0,143.0,82.0,83.0,0.6074074074074074,0.5804195804195804,hard,Australian Open,,,Estrella Burgos V.,,
110,2017-01-16 10:00:00,Mahut N.,Harrison R.,Mahut N.,77.0,95.0,25.0,46.0,last_128,0.3246753246753247,0.4842105263157895,6-3 6-4 6-2,95.0,77.0,49.0,52.0,0.5157894736842106,0.6753246753246753,hard,Australian Open,,,Harrison R.,,
111,2017-01-16 10:00:00,Kuznetsov An.,Nishikori K.,Kuznetsov An.,158.0,142.0,57.0,63.0,last_128,0.36075949367088606,0.44366197183098594,5-7 6-1 6-4 6-7(6) 6-2,142.0,158.0,79.0,101.0,0.5563380281690141,0.6392405063291139,hard,Australian Open,,,Nishikori K.,,
112,2017-01-16 10:00:00,Melzer G.,de Minaur A.,Melzer G.,167.0,157.0,68.0,67.0,last_128,0.40718562874251496,0.4267515923566879,5-7 6-3 2-6 7-6(2) 6-1,157.0,167.0,90.0,99.0,0.5732484076433121,0.592814371257485,hard,Australian Open,,,de Minaur A.,,
113,2017-01-16 11:25:00,Garcia-Lopez G.,Zverev M.,Garcia-Lopez G.,100.0,99.0,36.0,43.0,last_128,0.36,0.43434343434343436,6-3 7-6(5) 6-4,99.0,100.0,56.0,64.0,0.5656565656565656,0.64,hard,Australian Open,,,Zverev M.,,
114,2017-01-16 11:30:00,Halys Q.,Querrey S.,Halys Q.,133.0,151.0,38.0,52.0,last_128,0.2857142857142857,0.3443708609271523,6-7(10) 7-6(4) 6-3 6-4,151.0,133.0,99.0,95.0,0.6556291390728477,0.7142857142857143,hard,Australian Open,,,Querrey S.,,
